English,Arabic,Dialect
shortly (time),2ariiban,Lebanese
soon/close,2ariiban,Lebanese
short,2asiir/2asiiri,Lebanese
strong,2awi,Lebanese
is doing,2e3ed/2e3edi 3am,Lebanese
news,2e5baar,Lebanese
in front (of),2edaem,Lebanese
what time is it?,2edaiish esae3a?,Lebanese
leg,2ejer,Lebanese
loaf,2er8iif,Lebanese
glass,2ezaez,Lebanese
arm,2iid,Lebanese
hand,2iid,Lebanese
right hand,2iid elyamiin,Lebanese
left hand,2iid eshmael,Lebanese
sister,2o5t,Lebanese
power,2oui,Lebanese
close(ness),2ourb,Lebanese
Don't you ever../Watch out (for),2u3a,Lebanese
on/at  (but can have many other meanings),3a,Lebanese
amount,3adad,Lebanese
big amount,3adad kbiir,Lebanese
small amount,3adad sa8iir,Lebanese
Its ok/not bad/normal,3adi,Lebanese
ordinary,3adi,Lebanese
at 2,3aetnain,Lebanese
eye,3aiin,Lebanese
at least,3al2a2el,Lebanese
at least,3al2aliili,Lebanese
relationship,3alae2a,Lebanese
at 1,3alwe7di,Lebanese
I'm dying from the..,3am mout men el/e..,Lebanese
uncle,3am(dad's side)/5aal(mom's side),Lebanese
about,3an,Lebanese
on purpose,3an2ased,Lebanese
(an) offer,3ared,Lebanese
straight,3asawa,Lebanese
dinner,3asha,Lebanese
on your left,3ashmaelak/3ashmaelik,Lebanese
in the morning,3asobo7,Lebanese
out of order,3atel/3ateli,Lebanese
dark (light wise),3atem,Lebanese
at 8,3atemaeni,Lebanese
always,3atoul,Lebanese
glasses,3awainaet,Lebanese
on your right,3ayamiinak/3ayamiinik,Lebanese
on a visit,3aziaara,Lebanese
box,3elbi,Lebanese
package,3elbi,Lebanese
You have?,3endak/3endik?,Lebanese
address,3enwaen,Lebanese
title,3enwaen,Lebanese
wedding,3ers,Lebanese
life(time),3omar,Lebanese
brother,5ai,Lebanese
enough,5alas,Lebanese
that’s it/that’s enough/stop!,5alas,Lebanese
stay,5aliik/5aliilki,Lebanese
lets meet..,5allina nelta2a..,Lebanese
map,5arta,Lebanese
lettuce,5as,Lebanese
wood,5ashab,Lebanese
dangerous,5atiir,Lebanese
mr.-mister,5awaeja/monsieur (french),Lebanese
baker,5ebaez,Lebanese
bread,5ebez,Lebanese
service,5edmi,Lebanese
old man/woman,5etiaar/5etiaara,Lebanese
amazed at me ((he/she) was),5ewet/5ewtet fiiyi,Lebanese
vegetables,5odra,Lebanese
real,7a2ii2i,Lebanese
really/truthfully,7a2ii2atan,Lebanese
wall,7aait,Lebanese
pill,7abbi,Lebanese
my darling,7abiibi/7abiibiti,Lebanese
beside,7ad,Lebanese
ready,7ader/7adera,Lebanese
someone,7adi,Lebanese
does someone want…?,7adi baddu…?,Lebanese
concert/party,7afli,Lebanese
party,7afli,Lebanese
life,7aiaet,Lebanese
animal,7aiwaen/7aiiwaeni,Lebanese
right now…,7aliian…,Lebanese
milk,7aliib,Lebanese
energy/excitement,7amaes,Lebanese
forbiden,7araam,Lebanese
how forbiden (he/she/they) is/are,7araam,Lebanese
how sad!,7araam,Lebanese
you are mean!,7araam 3alaik/3alaiki!,Lebanese
fever,7araara,Lebanese
temperature,7araara,Lebanese
pregnant,7ebli,Lebanese
lovely,7elou/7eloui,Lebanese
sweet/beautiful,7elou/7eloui,Lebanese
border,7odud,Lebanese
free,7orr/7orra,Lebanese
costly,8aali/8aalyi,Lebanese
lunch,8ada,Lebanese
dark (color wise),8aeme2,Lebanese
another,8aiir,Lebanese
other (than),8aiir,Lebanese
wrong!,8alat!,Lebanese
mistake,8alta,Lebanese
mistake (from you),8alta menak/menik,Lebanese
mistake (from me),8alta menni,Lebanese
rich,8ani/8aniiyi,Lebanese
west,8areb,Lebanese
foreign,8ariib,Lebanese
strange,8ariib,Lebanese
strange,8ariib,Lebanese
strange/how strange?,8ariib,Lebanese
song,8eniiyi,Lebanese
living room,8erfet 2a3oud,Lebanese
room,8erfi,Lebanese
living room,8erfet 2e3oud,Lebanese
bedroom,8erfet nowm,Lebanese
blind,a3ma/3amia,Lebanese
give,a3ti,Lebanese
green,a5adar/5adra,Lebanese
red,a7mar,Lebanese
feeling,a7saes,Lebanese
better,a7san,Lebanese
before,abel,Lebanese
white,abiiad/baiida,Lebanese
old,adiim,Lebanese
last,ae5er,Lebanese
last thing/one,ae5er shi,Lebanese
stupid,ahbal/habla,Lebanese
yes indeed,ai akiid,Lebanese
when?/what time?,ai meta?,Lebanese
"No doubt,Sure thing!",ai shou lakaen!,Lebanese
food,akel,Lebanese
certain,akiid,Lebanese
definitely,akiid,Lebanese
sure!,akiid,Lebanese
sure??,akiid,Lebanese
German man/woman,almaani/almaaniiyi,Lebanese
American man/woman,amercaeni/amercaeniiyi,Lebanese
prince,amiir,Lebanese
(the) worst..thing,an7as…shi,Lebanese
I am free to do as I wish!,Ana 7orr/7orra!,Lebanese
I want please..,Ana baddi pliiz,Lebanese
english,anglais(french),Lebanese
bottle,annini,Lebanese
bottle of water,anninit maai,Lebanese
or,aou,Lebanese
lion,asad,Lebanese
yellow,asfar/safra,Lebanese
black,aswad/sawda,Lebanese
moterway/highway,autostrade (italian),Lebanese
You say so?,awalak/awalik,Lebanese
blue,azra2/zar2a,Lebanese
blue,azra2/zar2a,Lebanese
at,b/bi/bel/3a/3al,Lebanese
cow,ba2ara,Lebanese
after,ba3d,Lebanese
Its Early! (sarcasm when someone is late),ba3d bakiir!,Lebanese
sometimes,ba3d elaw2aet,Lebanese
afterwards/later,ba3daiin,Lebanese
cheap (person),ba5iil/ba5iili,Lebanese
beach,ba7r,Lebanese
sea,ba7r,Lebanese
dad,baba,Lebanese
father,baba,Lebanese
suit,badli,Lebanese
door,baeb,Lebanese
egg,baida,Lebanese
house,baiit,Lebanese
early,bakiir,Lebanese
out,barra,Lebanese
just/enough,bas,Lebanese
only,bas,Lebanese
unfortunately,bas lel-asaf,Lebanese
fun,baset,Lebanese
potatos,bataata,Lebanese
slow,batii2/batii2a,Lebanese
away,be3iid,Lebanese
far,be3iid,Lebanese
baby,bebai,Lebanese
inside(as in domestic),bedae5el,Lebanese
it must be!,beddu yekoun,Lebanese
without,bedoun,Lebanese
in particular,bel2a5as,Lebanese
outside(as in abroad),bel5aerej,Lebanese
especially,bela5as,Lebanese
country,belaed,Lebanese
at home,belbaiit,Lebanese
indeed,belfe3l,Lebanese
(at) night,bellail,Lebanese
in the city,belmediini,Lebanese
undergoing repair,belteslii7,Lebanese
building,benaiiyi,Lebanese
brown,benni,Lebanese
daughter/girl,bent,Lebanese
gasoline/petrol,benziin (dutch),Lebanese
fridge,beraad,Lebanese
curtain,berdaiyi,Lebanese
program,bernaemj,Lebanese
hat,bernaita,Lebanese
precisely,bezabet,Lebanese
in,bi/b,Lebanese
near,bi2orb,Lebanese
concerning,bi5esous,Lebanese
bicycle,bicyclette(french),Lebanese
beer,biira,Lebanese
card,biitaa2a,Lebanese
in the evening,belmasa,Lebanese
girl,bent,Lebanese
cat,bisi/bessi,Lebanese
exactly,bizabet,Lebanese
paint,boia,Lebanese
Good day,Bonjour(french),Lebanese
shoe,bot,Lebanese
shoes,botaat,Lebanese
tomorrow,boukra,Lebanese
excellent for you,bravo 3aliik/3aliiki,Lebanese
excellent,bravo(english),Lebanese
British man/woman,briitaani/briitaaniiyi,Lebanese
bus,bus/autobus (french),Lebanese
gift,cadeau (french),Lebanese
present,cadeau (french),Lebanese
Canadaian  man/woman,canadiaeni/canadiaeniiyi,Lebanese
hat,chapeau (french),Lebanese
shirt,chemise (french),Lebanese
chocolate,chocolat,Lebanese
cinema,cinema(english),Lebanese
computer,computer(english),Lebanese
tie,cravate (french),Lebanese
called (as in...so and so called),da2…,Lebanese
called (I called),da2ait la…,Lebanese
week (power),da3iif/da3iifi,Lebanese
gold (material),dahab,Lebanese
gold (color),dahabi/dahabiiyi,Lebanese
back,daher,Lebanese
outing,dahra,Lebanese
always,daiiman,Lebanese
necessary,darrouri/darrouriiyi,Lebanese
light,daw,Lebanese
light (brightness),daw,Lebanese
switch on,dawwer/dawwri,Lebanese
smoke (particles),de5aen,Lebanese
(a)shop,dekaen,Lebanese
supermarket,dekaen,Lebanese
studies,derous,Lebanese
commercials,dii3aiyaat,Lebanese
commercial,dii3aiyi,Lebanese
religion,diin,Lebanese
doctor,doctoor,Lebanese
against,dod,Lebanese
shower,douche(french),Lebanese
a possiblity,e7timael,Lebanese
son,ebin,Lebanese
scarf,écharpe (french),Lebanese
proposal,ektiiraa7,Lebanese
the,el or e (depending on letter that follows),Lebanese
(the) people,el3aalam,Lebanese
the world/the people,el3aalm,Lebanese
(the) family,el3aili,Lebanese
the family,el3aili,Lebanese
autumn,el5ariif,Lebanese
the others,elaa5ariin,Lebanese
first,elawal,Lebanese
the first,elawal,Lebanese
(the) human being,elensaen,Lebanese
it seems to be!,elhaii2a,Lebanese
everyone,elkel,Lebanese
except/minus,ella,Lebanese
minus,ella,Lebanese
consumer (the consumer),el-mustahlek,Lebanese
people..typically (to teach a lesson),elwaa7ad,Lebanese
today,elyoum,Lebanese
yesterday,embare7,Lebanese
wine,embiid,Lebanese
(the) people,enaes,Lebanese
you are,enak/enik,Lebanese
that,ennu,Lebanese
(the) radio,eraadio,Lebanese
the radio,eraadio,Lebanese
spring,erabii3,Lebanese
(the) time,esae3a,Lebanese
summer,esaiif,Lebanese
week (calender),esbou3,Lebanese
the sun,eshams,Lebanese
winter,esheti,Lebanese
name,esm,Lebanese
the morning,esobo7,Lebanese
Spanish man/woman,espaani/espaaniiyi,Lebanese
teacher,estaez/estaezi,Lebanese
healing/medical aid,estishfa,Lebanese
(the)weather,eta2es,Lebanese
the following,etaelyi,Lebanese
look!,etala3/etala3i,Lebanese
exam,etii7aen,Lebanese
if otherwise/if not,eza 8aiir zaelk,Lebanese
it appears to be!,ezaaher,Lebanese
poor,fa2iir/fa2iira,Lebanese
empty,faadi/faadiiyi,Lebanese
not busy/empty,faadi/faadiiyi,Lebanese
light (color),faete7,Lebanese
suddenly,faj2a,Lebanese
moth,faraashi,Lebanese
silver (material),fedda,Lebanese
silver (color),feddi/feddiiyi,Lebanese
understand?,fehemt/fehemti kiif?,Lebanese
chance,fersa,Lebanese
holiday,fersa,Lebanese
fruit,fewaeki,Lebanese
there is (available),fi,Lebanese
there is…,fi,Lebanese
service (at the service..Of),fi 5edmt,Lebanese
its possible,fi e7timael,Lebanese
in,fi/bi or f/b (depending on letter that follows),Lebanese
in case,fi7aal,Lebanese
anyway/anyhow,fikol 7aal,Lebanese
idea,fikra,Lebanese
dress,fistaan,Lebanese
above,fo2,Lebanese
up/ up stairs/ above,fo2,Lebanese
immediately,"fourran (pronounced, faw-run)",Lebanese
change (pocket change..coins),frata,Lebanese
French man/woman,frensaewi/frensaewiiyi,Lebanese
waiter/boy,garçon (french),Lebanese
cake,gâteau,Lebanese
chocolate cake,gâteau 3achocolat (french),Lebanese
carrort cake,gateau 3ajazar,Lebanese
apple cake,gateau 3atefae7,Lebanese
until…,ha7tal...,Lebanese
darling,habibi/habibti,Lebanese
goal,hadaf,Lebanese
easy,haiin,Lebanese
now,hal2,Lebanese
rights,7o2ou2,Lebanese
here,hon,Lebanese
there (over there),hounik,Lebanese
nieghbor,jaar/jaara,Lebanese
group,jamae3a,Lebanese
audience,jamhour,Lebanese
beautiful,jamiil/jamiili,Lebanese
garden,janaini,Lebanese
jacket,jaquette (french),Lebanese
newspaper,jariidi,Lebanese
an answer,jawaeb,Lebanese
carrot,jazara,Lebanese
mountains,jebael,Lebanese
cheese,jebni,Lebanese
grandpa,jeddu,Lebanese
new,jediid/jediidi,Lebanese
jedou,jedou,Lebanese
leather,jeld,Lebanese
sentence,jemli,Lebanese
south,jenoub,Lebanese
bridge,jeser,Lebanese
part,jeze2,Lebanese
get,jiib/jiibi,Lebanese
skirt,tanoura/jupe (french),Lebanese
coat,kabout,Lebanese
complete,kaemel/kaemeli,Lebanese
writer,kaetb/kaetbi,Lebanese
author,kaeteb,Lebanese
dog,kalb,Lebanese
how many?/how much?,kam?/2edaiish?,Lebanese
also,kamaen,Lebanese
as well,kamaen,Lebanese
too/also,kamaen,Lebanese
furthermore..,kamaena..,Lebanese
kind/generous,kariim/kariimi,Lebanese
cruise,kazdoura,Lebanese
big,kbiir,Lebanese
large,kbiir,Lebanese
everytime,kel marra,Lebanese
everything,kel shi,Lebanese
all/everybody,kel/elkel (depending on context),Lebanese
word,kelmi,Lebanese
all of us together!,kelna sawa!,Lebanese
chair,kersi,Lebanese
lie,kezbi,Lebanese
lie (white),kezbi baiida,Lebanese
lie (black),kezbi sawda,Lebanese
cup,kibaiiyi,Lebanese
how/how come?,kiif?,Lebanese
how?,kiif?,Lebanese
every now and then,kil maeshi wo etaeni,Lebanese
book,ktaeb,Lebanese
many/a lot,ktiir,Lebanese
much,ktiir,Lebanese
often,ktiir,Lebanese
very,ktiir,Lebanese
for,l/la/le,Lebanese
why?/for what?,la shou?,Lebanese
to/for,la/l (depending on following letter),Lebanese
No!,La2,Lebanese
mean person,la2iim/la2iimi,Lebanese
meet me at the..,la2iini 3al..,Lebanese
by him/her self,la7aalu/la7aala,Lebanese
butcher,la7aem,Lebanese
meat,la7em,Lebanese
moment,la7za,Lebanese
moment (one),la7za!,Lebanese
should/what should be,laezem,Lebanese
why?,laiish?,Lebanese
look(here)/listen up!,laik/laiki,Lebanese
night,lail,Lebanese
(a) night,laili,Lebanese
once/whenever,lamma,Lebanese
alone,lawa7du/lawa7da,Lebanese
color,lawn,Lebanese
The Country (Lebanon),lebelaed,Lebanese
Lebanese  man/woman,lebnaeni/lebnaeniiyi,Lebanese
sadly,lelasaf,Lebanese
Both/the two,letnaen,Lebanese
so/that’s why,lizaelk,Lebanese
no one,ma 7adi,Lebanese
They do not say…(It's wrong to say),Ma bi 2oulu,Lebanese
there is no…,ma fi…,Lebanese
no way!,ma momken!,Lebanese
nothing,ma shi,Lebanese
with,ma3/ma3a,Lebanese
meaning,ma3na,Lebanese
exit,ma5raj,Lebanese
station/chanel,ma7ata,Lebanese
water,maai,Lebanese
worn out,mad3ouk/mad3ouki,Lebanese
entrance,mad5al,Lebanese
opened,maftou7/maftou7a,Lebanese
dead,maiiyiet/maiiyieti,Lebanese
side,mail,Lebanese
magazine,majalli,Lebanese
famous,majhour/majhoura,Lebanese
office,maktab,Lebanese
library,maktabi,Lebanese
letter,maktoub,Lebanese
spoon,mala2a,Lebanese
mom,mama,Lebanese
mother,mama,Lebanese
nose,man5our,Lebanese
area,manta2a,Lebanese
region,manta2a,Lebanese
view/sight,manzar,Lebanese
nice sight,manzar 7elou,Lebanese
hello,mar7aba,Lebanese
period/interval,mar7ali,Lebanese
ill,mariid/mariida,Lebanese
woman,marra,Lebanese
evening,masa,Lebanese
money,masaari,Lebanese
busy,mash8oul,Lebanese
towel,manshafi,Lebanese
restaurant,mat3am,Lebanese
restaurant,mat3am,Lebanese
museum,mat7af,Lebanese
airport,mataar,Lebanese
example,matal,Lebanese
role model,matal,Lebanese
for example,matalan,Lebanese
kitchen,matba5,Lebanese
appointment,maw3ad,Lebanese
TV/(petrol) station,me7ata,Lebanese
city,mediini,Lebanese
key,meftae7,Lebanese
polite,mehazab/mehazabi,Lebanese
full/full of,meliaen/meliaeni,Lebanese
from,men,Lebanese
since,men,Lebanese
through/via,men 5iilael,Lebanese
clear (its clear),men elwaad7,Lebanese
from a while,men meddi,Lebanese
from a while,men zamaen,Lebanese
angry,menarfez/menarfezi,Lebanese
angry from me,menarfez/menarfezi meni,Lebanese
good,menii7/menii7a,Lebanese
nice/good,menii7/menii7a,Lebanese
well,menii7/menii7a,Lebanese
mirror,meraiiyi,Lebanese
thank you,merci (french),Lebanese
thank you very much,merci ktiir,Lebanese
closed,mesakar/mesakara,Lebanese
not,mesh,Lebanese
I don't mean that,Mesh 2asdi haik,Lebanese
familiar,mesh 8ariib,Lebanese
not your business,mesh she8elak/she8elik,Lebanese
problem,meshkel/meshkeli,Lebanese
crisis/problem,mesiibi,Lebanese
when,meta,Lebanese
late,met2a5r/met2a5ra,Lebanese
a while/era,meddi,Lebanese
whoever..,miin ma..,Lebanese
who?,miin?,Lebanese
hospital,mistashfa,Lebanese
just like you (in this),mitli mitlak/mitlik,Lebanese
drugs,mo5adaraat,Lebanese
shut,mo8la2,Lebanese
teacher,modares/moddaresi,Lebanese
carpet,moquette(french),Lebanese
engine,motaer,Lebanese
(a)plan,mou5atat,Lebanese
boss/director/manager,moudiir/moudiira,Lebanese
manager,moudiir/moudiira,Lebanese
citizen,mowaten/mowateni,Lebanese
occasion,munaesebi,Lebanese
music,musii2a,Lebanese
yes/ya,na3am (formal) /ai,Lebanese
evil,na7es,Lebanese
fat man/women,naase7/naase7a,Lebanese
soft,nae3m/nae3mi,Lebanese
dry,naeshef/naeshefi,Lebanese
(a) wait,natra,Lebanese
because,ne2en,Lebanese
argument,nii2aesh,Lebanese
end,niihaiiyi,Lebanese
order (law),niizaam,Lebanese
half,nos,Lebanese
orange,oronj,Lebanese
pants,pantalon (french/italian),Lebanese
trousers,pantalon (french/italian),Lebanese
excuse me,pardon (french),Lebanese
wig,perruque(french),Lebanese
pool,piscine (french),Lebanese
please,pliiz (englsih),Lebanese
number,ra2em,Lebanese
cheap (product),ra5iis,Lebanese
pleasure,ra7a,Lebanese
head,raas,Lebanese
potato,raas bataata,Lebanese
drawing,rasmi,Lebanese
thin,re2ii2/re2ii2i,Lebanese
cheap price,re5iis/re5iisa,Lebanese
journey,re7li,Lebanese
quarter of an hour,reb3 sae3a,Lebanese
reaction,redet fe3l,Lebanese
friends,ref2a,Lebanese
friend,refii2/refii2a,Lebanese
man,rejael,Lebanese
friends,rifa2,Lebanese
message,riisaeli,Lebanese
note,riisaeli,Lebanese
sport,riiyaada,Lebanese
sporty,riiyaadi,Lebanese
go,rou7/rou7i,Lebanese
Russian man/woman,rusi/rusiiyi,Lebanese
ask (he/she),sa2al/sa2alt,Lebanese
ceiling,sa2ef,Lebanese
roof,sa2ef,Lebanese
piece,sha2fi,Lebanese
correct,sa7,Lebanese
right (that's),sa7,Lebanese
true/correct,sa7,Lebanese
plate,sa7en,Lebanese
small,sa8iir/sa8iiri,Lebanese
Good morning,saba7 el5aiir,Lebanese
boy,sabi,Lebanese
clock,sae3a,Lebanese
clock/watch,sae3a,Lebanese
hour,sae3a,Lebanese
watch,sae3a,Lebanese
classroom,saf,Lebanese
queue,saf,Lebanese
school class/queue,saf,Lebanese
travel/a trip,safar,Lebanese
staying up late,sahar,Lebanese
flat land,sahel,Lebanese
late night party/outing,sahra,Lebanese
bad,saii2,Lebanese
traffic,saiir,Lebanese
tree,sajara,Lebanese
salad,salata,Lebanese
fish,samak,Lebanese
fast,sarii3/sarii3a,Lebanese
quick,sarii3/sarii3a,Lebanese
quickly,sarii3an,Lebanese
together,sawa,Lebanese
suger,sekar,Lebanese
knife,sekiin,Lebanese
thick,semiik/semiiki,Lebanese
north,shmmael,Lebanese
year,seni,Lebanese
thief,serae2/serae2i,Lebanese
hair,sha3r,Lebanese
person,sha5es,Lebanese
boat,sha5tuura,Lebanese
ship,sha5tuura,Lebanese
tea,shaai,Lebanese
tea,shaai,Lebanese
teen,shab/sabiiyi,Lebanese
teen,shab/sabiiyi,Lebanese
teens,shabaeb/sabaaia,Lebanese
street,shaer3,Lebanese
month,shaher,Lebanese
complaint,shakwa,Lebanese
umbrella,shamsiiyi,Lebanese
back pack,shanta,Lebanese
suitcase,shanta,Lebanese
east,share2,Lebanese
company,shariki,Lebanese
fork,shawki,Lebanese
business,she8el,Lebanese
job,she8el,Lebanese
work,she8el,Lebanese
window,shebaek,Lebanese
straw,sheliimoni,Lebanese
rain,sheti,Lebanese
something,shi,Lebanese
window,shibaek,Lebanese
"you see, how it is?",shifet kiif?/shifeti kiif?,Lebanese
left,shmael,Lebanese
a bit,shouai,Lebanese
how do you know?,shou 3arafak?/shou 3arafik?,Lebanese
how do I know?,shou 3arafni?,Lebanese
what is there?/Whats up?,shou fi?,Lebanese
of course,shou lakaen!,Lebanese
how polite…,shou mehazab/mehazabi,Lebanese
How fat he/she is!!,Shou naase7/naase7a!!,Lebanese
What does..mean?,shou ya3ni?,Lebanese
what?,"shou?/ai?/kiif? (Yes, how can used with right tone!)",Lebanese
a bit/just a little,shouai,Lebanese
bit (a bit),shouai,Lebanese
(a) little,shouai,Lebanese
shoe,sibaat,Lebanese
car,siiara/makana,Lebanese
cigarette,siigaara,Lebanese
miss,sit or madame (french),Lebanese
pieces,sho2af,Lebanese
difficult,so3b/so3bi,Lebanese
healthy,so7i,Lebanese
sorry!,sorry! (english),Lebanese
market,sou2,Lebanese
store,sou2,Lebanese
vegie market,sou2 el5edra,Lebanese
sounds,souaat,Lebanese
sounds of kids,souaat welaed,Lebanese
photo,soura,Lebanese
photo of…,soura 3an…,Lebanese
sound,sout,Lebanese
special,special (french),Lebanese
heavy,ta2iil/ta2iili,Lebanese
luxurious,ta2iil/ta2iili,Lebanese
almost,ta2riiban,Lebanese
approximatly,ta2riiban,Lebanese
tired,ta3baen/ta3baeni,Lebanese
taste,ta3m,Lebanese
taste,ta3mi,Lebanese
bed,ta5et,Lebanese
below,ta7et,Lebanese
down/ down stairs/ below,ta7et,Lebanese
natural/normal,tabii3i/tabii3iiyi,Lebanese
normal,tabii3i/tabii3iiyi,Lebanese
usual,tabii3i/tabii3iiyi,Lebanese
grandma,taeta,Lebanese
fresh,taeza,Lebanese
take,tafadal/tafadali,Lebanese
Fine!,taiieb ok!,Lebanese
tasty,taiieb/taiiebi,Lebanese
taxi,taksi,Lebanese
pot,tanjara,Lebanese
aunt,tante (french),Lebanese
road,tarii2,Lebanese
way,tarii2,Lebanese
way back,tarii2 eraj3a,Lebanese
history,tarii5,Lebanese
long,tawiil/tawiili,Lebanese
table,tawli,Lebanese
perhaps,te5miin,Lebanese
apple,tefae7a,Lebanese
clothes,teiaeb,Lebanese
experience,tejrobi,Lebanese
students,telamiiz,Lebanese
telephone,telefon,Lebanese
Italian man/woman,teliani/telianiiyi,Lebanese
student,telmiiz/telmiizi,Lebanese
(a) walk,temshaiiyi,Lebanese
breakfast,terwii2a,Lebanese
repair,teslii7,Lebanese
ticket,ticket(english),Lebanese
airplane,tiiara,Lebanese
trade,tiijaara,Lebanese
two,tnaen,Lebanese
bathroom,toailet,Lebanese
baby,tofol,Lebanese
train,train (french),Lebanese
vacation,vacances (french),Lebanese
van,vaen,Lebanese
stick (automobile),viitaes,Lebanese
I promised you,w3adtak/w3adtik,Lebanese
You promised me,w3adtni/w3adtini,Lebanese
and,wa,Lebanese
at that time,wa2ta,Lebanese
at that time,wa2ta,Lebanese
back then,wa2ta,Lebanese
promise,wa3d,Lebanese
awake,wa3i/wa3yi,Lebanese
clear,waad7/waad7a,Lebanese
awake,wae3i/wae3iiyi,Lebanese
wide,waese3,Lebanese
"where is the bathroom, please?",waiin etoailet pliiz?,Lebanese
where?,waiin?,Lebanese
pain,waja3,Lebanese
headache,waja3 raas,Lebanese
sore throat,waja3 zala3iim,Lebanese
child,walad,Lebanese
but/however,walaeken,Lebanese
however,walaeken,Lebanese
papers,war2,Lebanese
paper/contract,war2a,Lebanese
behind,wara,Lebanese
flower,wardi,Lebanese
prescription,wasfi,Lebanese
prescription from the doctor,wasfi men edoctoor,Lebanese
nation,watan,Lebanese
face,wej,Lebanese
kids,welaed,Lebanese
arrived (he/she),wesl/weslt,Lebanese
So what!,wo2eza!,Lebanese
And if…,wo2eza…,Lebanese
pity!,ya 7aram!,Lebanese
how terrible!,ya te3tiiri!,Lebanese
Eat Up! M/F/Group,Yalla kol/keli/kelo!,Lebanese
right,yamiin,Lebanese
to furnish,yefrosh/tefrosh,Lebanese
oh no,yii,Lebanese
day,youm,Lebanese
traffic conjestion,za7met saiir,Lebanese
corner,zaewiyi,Lebanese
bordom,zaha2,Lebanese
bored (im bored),zaha2aen/zaha2aeni,Lebanese
oil,zaiit,Lebanese
knowlegde,zaka,Lebanese
remind me,zakerni/zakriini,Lebanese
clever,zaki/zakiiyi,Lebanese
smart,zaki/zakiiyi,Lebanese
throat,zal3oum,Lebanese
era,zaman,Lebanese
marriage,zawaej,Lebanese
husband,zawj,Lebanese
pair,zawj,Lebanese
butter,zebdi,Lebanese
same thing,zet elshi,Lebanese
a visit,ziaara,Lebanese
(a)visit,ziiaara,Lebanese